maxNonePCDays,minPCDays,lowPercentile,PCPercentile,EPCPercentile,PCLowBound,PCUpBound,Accuracy,F1,Precision,Recall,PercentileUsed,support_start,support_end,Confidence_start,Confidence_end,start_month,end_month,instance_number,location_number,classifier
1,5,0.2,0.6,0.9,0.6,0.9,0.616336634,0.628297362,0.609302326,0.648514851,loc_Individuals.txt,211,268,0.35,1,5,9,404,4,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.579207921,0.593301435,0.574074074,0.613861386,loc_Individuals.txt,217,268,0,1,5,9,404,570,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.584158416,0.567010309,0.591397849,0.544554455,loc_Individuals.txt,217,268,0.3,1,5,9,404,239,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.556930693,0.570743405,0.553488372,0.589108911,loc_Individuals.txt,217,268,0.35,1,5,9,404,3,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.592039801,0.595,0.589108911,loc_Individuals.txt,225,268,0,1,5,9,404,281,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.646039604,0.64691358,0.645320197,0.648514851,loc_Individuals.txt,225,268,0.3,1,5,9,404,149,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.514851485,0.517241379,0.514705882,0.51980198,loc_Individuals.txt,225,268,0.35,1,5,9,404,1,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,25,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,25,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,93,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,93,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,113,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,113,333,0.45,1,5,9,540,3,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.616666667,0.610169492,0.620689655,0.6,loc_Individuals.txt,131,333,0.4,1,5,9,540,65,J48
2,5,0.2,0.6,0.9,0.6,0.9,0.546296296,0.543761639,0.546816479,0.540740741,loc_Individuals.txt,131,333,0.45,1,5,9,540,3,J48
